,Chademo_total,Chademo_available,Chademo_occupied,Chademo_reserved,Chademo_unknown,Chademo_out_of_service,IEC62196Type2CCS_total,IEC62196Type2CCS_available,IEC62196Type2CCS_occupied,IEC62196Type2CCS_reserved,IEC62196Type2CCS_unknown,IEC62196Type2CCS_out_of_service,Total_total,Total_available,Total_occupied,Total_reserved,Total_unknown,Total_out_of_service,chargingAvailability,IEC62196Type2CableAttached_total,IEC62196Type2CableAttached_available,IEC62196Type2CableAttached_occupied,IEC62196Type2CableAttached_reserved,IEC62196Type2CableAttached_unknown,IEC62196Type2CableAttached_out_of_service,IEC62196Type2Outlet_total,IEC62196Type2Outlet_available,IEC62196Type2Outlet_occupied,IEC62196Type2Outlet_reserved,IEC62196Type2Outlet_unknown,IEC62196Type2Outlet_out_of_service,IEC62196Type1CCS_total,IEC62196Type1CCS_available,IEC62196Type1CCS_occupied,IEC62196Type1CCS_reserved,IEC62196Type1CCS_unknown,IEC62196Type1CCS_out_of_service
37,1.0,0.0,0.0,0.0,1.0,0.0,8.0,5.0,1.0,0.0,2.0,0.0,9,5,1,0,3,0,528009010105588,,,,,,,,,,,,,,,,,,
38,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,528009010068827,,,,,,,,,,,,,,,,,,
39,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4,4,0,0,0,0,528009010108332,,,,,,,,,,,,,,,,,,
40,1.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,9,9,0,0,0,0,528009010112247,,,,,,,,,,,,,,,,,,
41,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3,2,0,0,1,0,528009010046018,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
42,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8,8,0,0,0,0,528009010104699,,,,,,,,,,,,,,,,,,
43,3.0,2.0,0.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,9,7,0,0,2,0,528009009086385,,,,,,,,,,,,,,,,,,
44,2.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,6,4,2,0,0,0,528009009085226,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
45,2.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,6,3,1,0,2,0,528009010108003,,,,,,,,,,,,,,,,,,
46,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,528009010074928,,,,,,,,,,,,,,,,,,
